kinase,count
SRC,2605
EPHA3,2120
FES,2013
NTRK3,1927
ALK,1889
EPHA8,1879
ABL1,1837
FLT3,1830
EPHB2,1775
FYN,1770
RET,1769
PKACA,1740
EPHB1,1727
MUSK,1709
INSR,1706
EPHB3,1698
LYNb,1694
FER,1674
EPHB4,1640
NTRK1,1639
ROS1,1543
TYRO3,1535
SYK,1531
TNK1,1511
YES1,1496
MET,1485
BMX,1455
FLT4,1452
LTK,1405
FRK,1387
ERK2,1380
LCK,1351
FGFR1,1350
MST1R,1341
EPHA5,1337
FGFR2,1331
CDK1,1325
ABL1[T315I],1320
TEK,1316
IKKB,1297
FGR,1295
JAK3,1284
ABL1[E255K],1274
LYN,1263
SRMS,1260
TEC,1257
RET[M918T],1221
FGFR3[K650M],1220
EPHA2,1206
EPHA1,1201
PDGFRA,1200
PDGFRa[V561D],1175
INSRR,1174
IGF1R,1164
RET[G691S],1163
ERK1,1160
BTK,1158
AXL,1144
PKCA,1128
EPHA7,1121
CDK2,1114
ALK[F1174L],1111
EGFR[T790M/L858R],1110
ERBB4,1105
MERTK,1096
BLK,1094
EGFR[T790M],1085
JAK2,1063
PTK6,1061
HCK,1053
ALK[R1275Q],1043
ABL2,1033
JNK1,1025
P38A,1018
MLK1,1008
PDGFRB,1001
EPHA6,987
EGFR[L861Q],981
KDR,980
NEK6,950
PLK1,943
PTK2B,919
CK2A1,919
EGFR,916
P38D,907
DYRK2,907
HGK,902
TTBK1,896
MST3,890
NTRK2,884
MST1,884
IKKE,880
RET[S891A],876
MST2,875
CSF1R,872
MINK,863
DDR2,861
NEK7,861
RET[Y791F],860
NEK2,857
TXK,844
ZAP70,828
FGFR3[K650E],827
CDK5,825
NEK1,821
MST4,816
QIK,807
P38G,804
KIT,800
CHK1,799
CAMK2A,797
KHS1,789
FGFR3,786
YSK1,778
CK1D,777
AKT1,774
RSK3,771
NEK4,762
GSK3B,756
TNIK,754
ITK,751
MAPKAPK3,728
TAO2,724
AURB,717
NIM1,711
FGFR4,704
MLK3,694
PAK3,691
FLT1,685
AURA,681
PIM1,680
EPHA4,680
AURC,676
KIT[T670I],674
MSK1,655
CAMK2G,651
MARK4,651
EGFR[L858R],648
PLK3,639
ZAK,630
NEK9,628
P70S6K,614
PAK1,609
MARK2,605
SGK3,605
GCK,597
MLK2,591
PAK2,591
MEKK1,590
TBK1,579
P90RSK,575
CAMK2D,575
PHKG2,571
DYRK3,570
IKKA,565
P38B,561
TSSK1,560
ERK5,558
PIM3,557
TLK1,554
TAK1,549
JNK2,548
NLK,540
LIMK1,540
MAPKAPK5,533
SIK,533
DCAMKL2,522
MATK,514
MET[Y1235D],511
AMPKA1,499
MAPKAPK2,496
CK2A2,492
CDK9,484
PKCB,471
JNK3,464
ALK4,463
IRAK1,458
RSK4,456
TNK2,454
IRAK4,451
DSTYK,449
CAMK2B,444
PKACB,444
PRKD3,442
PKCT,439
MARK1,438
MNK2,430
DYRK4,424
SGK1,424
TAO1,423
MARK3,423
TLK2,422
TSSK2,418
CK1E,414
PKG2,411
PRKD1,408
RSK2,391
AKT2,389
BUB1B,385
ULK3,377
DAPK1,376
GRK2,374
ROCK1,371
BMPR1B,367
PTK2,365
NEK11,362
LATS2,361
DYRK1A,353
CSK,350
CK1G2,347
CDK6,342
CK1A,341
PKCZ,338
GRK5,337
WNK3,332
ROCK2,331
ALK2,329
CAMKK1,327
ATM,316
PKG1,315
TGFBR1,306
AMPKA2,305
TYK2,303
PKN1,300
PKCG,299
MSK2,293
JAK1,287
GRK7,285
NUAK2,285
LKB1,283
WNK1,281
AKT3,279
PKCD,275
ICK,270
PBK,269
SKMLCK,268
LATS1,266
SGK2,263
PKCb2,263
WNK2,261
CAMK4,260
CK1G1,259
PRKD2,256
PLK4,252
PDGFRa[T674I],249
PKCH,248
WEE1,246
CDK3,243
CHK2,240
CDK7,237
PKCE,235
CK1G3,234
SLK,225
PKCI,225
PRKX,224
DCAMKL1,221
EEF2K,220
CAMKK2,219
MELK,219
MEK2,216
HIPK2,213
CDK4,211
MTOR,210
GSK3A,196
PAK6,196
BRAF[V600E],195
MOK,193
NDR1,192
NUAK1,189
PKG1b,188
PIM2,188
MEK1,184
ERK7,182
TESK1,182
OSR1,181
NDR2,181
CLK1,174
KIT[V560G],172
COT,168
ACVR2A,164
HIPK4,163
MEKK2,162
LRRK2,159
PHKG1,158
MAP2K4,156
PAK5,155
PERK,151
MOS,149
DNAPK,148
P70S6KB,147
CLK3,146
LIMK2,140
BRSK2,139
PAK4,137
STLK3,135
CAMK1A,132
CAMK1D,131
HASPIN,128
HIPK1,128
ASK1,123
SPHK2,123
ATR,122
MPSK1,121
MEK5,118
PKN2,115
MRCKB,112
MAP2K7,112
HIPK3,110
CDK8,107
BUB1,106
MEKK3,104
MAP2K3,102
GRK1,101
HRI,100
PLK2,100
TTK,98
STK33,96
ULK1,95
MAP2K6,94
BRSK1,93
BMPR2,87
LOK,83
DYRK1B,83
PASK,82
RIPK2,81
DDR1,81
CLK2,78
PDHK1,78
TNNI3K,76
SRPK2,68
ERBB2,68
PIK3CG/PIK3R5,68
PDK3,67
PKACG,67
BMPR1A,66
DAPK3,66
PKR,66
CHAK1,64
SRPK3,61
ROR2,58
GCN2,56
CAMK1B,55
SMMLCK,55
VRK1,54
PKMYT1,54
VRK2,52
CDC7,50
PDK1,49
MAST2,48
GAK,45
ROR1,44
PIK3CG,41
BRAF,41
NIK,41
GRK3,40
CLK4,39
SRPK1,37
MAP3K13,37
WNK4,37
ACVRL1,33
MRCKA,32
CDKL5,27
RAF1,27
DMPK1,25
PINK1,25
MNK1,25
DLK,24
CDK19,24
PDHK2,23
DAPK2,23
CDK12,22
PDHK4,22
LRRK1,21
PIK4CA,19
ACVR2B,18
BCR-ABL1,18
CK2B,17
RIPK3,16
TGFBR2,16
CDK16,16
MAP3K4,15
GRK4,14
GRK6,13
CDK14,13
AMPKB1,13
FAM20C,12
PIP5K1C,12
ILK,12
PIK3CB/PIK3R1,11
CRIK,11
LRRK2[G2019S],11
AMPKG2,10
PKM,9
HPK1,9
PIK3CA,9
ULK2,9
TESK2,8
TTBK2,8
PKN3,8
SMG1,7
PIK3C3,7
KHS2,7
KIS,7
STK17B,7
RIPK1,7
PIP4K2B,7
NEK5,6
NPM-ALK,6
MEKK6,6
ARAF,6
CHAK2,5
QSK,5
MYO3A,5
CASK,5
SPHK1,4
PIK3C2A,4
GTF2F1,4
NME1,4
TAF1,4
KSR2,4
LMTK2,4
MAPK6,4
PKDCC,4
PRPK,3
PGK1,3
CDK18,3
Bcr,3
Myt1,3
CDK11A,3
CAMLCK,3
PIK3CD/PIK3R1,3
PKM iso2,3
AAK1,3
CDK13,3
BVR,3
MASTL,2
BIKE,2
BRD4,2
WSTF,2
BCKDK,2
TSSK4,2
CDK20,2
TGM2,2
NEK3,2
ALPK3,2
CDK10,2
CDK11B,2
MAK,2
PCK1,2
STYK1,2
MAST4,1
TRIB2,1
JMJD6,1
G11,1
HUNK,1
CDK11A iso10,1
RIOK1,1
PIK3CB,1
TAO3,1
PIK3CD,1
MAPK4,1
DRAK1,1
GRP78,1
CDK15,1
KSR1,1
KHK,1
VRK3,1
Mnk1 iso2,1
Titin,1
RIOK3,1
CAMK2D iso8,1
AATK,1
PFKFB3,1
MAST3,1
ADCK5,1
CDKL2,1
COL4A3BP,1
PFKP,1
MLK4,1
MLKL,1
PIK3R1,1
PKACA iso2,1
IRE1,1
ENPP3,1
AlphaK3,1
CAMK1G,1
VPRBP,1
NEK10,1
SBK,1
JNK1 iso2,1
CK1A2,1
PRP4,1
PHKA1,1
